receita;codigo_reduzido;exercicio;cod_empresa;empresa;tipo_economia;codigo_orgao_vinculado;descricao_orgao_vinculado;sigla_orgao_vinculado;codigo_unidade_vinculada;descricao_unidade_vinculada;sigla_unidade_vinculada;legislacao_receita;aplicacao_receita;descricao_receita;descricao_resumida;categoria_economica;desc_categoria_economica;fonte;especificacao;rubrica;alinea;sub_alinea;detalhamento;desdobramento;tipo_conta;receita_orcamentaria;receita_educacao;receita_saude;utiliza_drd;fonte_recurso;descricao_fonte_recurso;dedutora;receita_prevista;janeiro_receita_atualizada;fevereiro_receita_atualizada;marco_receita_atualizada;abril_receita_atualizada;maio_receita_atualizada;junho_receita_atualizada;julho_receita_atualizada;agosto_receita_atualizada;setembro_receita_atualizada;outubro_receita_atualizada;novembro_receita_atualizada;dezembro_receita_atualizada;total_receita_atualizada;data_extracao
1,11303110100000e+24;23523;2025;1;PREFEITURA DO MUNICÍPIO DE SÃO PAULO;Direta;NA;NA;NA;NA;NA;NA;NA;NA;Imposto sobre a Renda - Retido na Fonte - Trabalho  - PF;Imposto sobre a Renda - Retido na Fonte - Trabalho  - PF;1;Receita Corrente;1;1;3;3;1;1;1;A;S;P;P;S;00.1.500.9003;Tesouro Municipal;N;146107774;141077358,30;-128293801,90;12023702,44;7850641,76;35467237,55;9345426,33;35417090,09;37480960,08;27023542,08;5445406,91;4505107,13;5770956,42;193113627,20;16/01/2026
1,11303110100000e+24;23525;2025;1;PREFEITURA DO MUNICÍPIO DE SÃO PAULO;Direta;NA;NA;NA;NA;NA;NA;NA;NA;Deduções do Imposto sobre a Renda - Retido na Fonte - Trabalho - PF;Deduções do Imposto sobre a Renda - Retido na Fonte - Trabalho - PF;1;Receita Corrente;1;1;3;3;1;1;1;A;S;P;P;S;00.1.500.9003;Tesouro Municipal;S;0;0,00;0,00;-53,22;0,00;-184,32;0,00;-476,95;0,00;0,00;-239337,27;0,00;-872752,27;-1112804,03;16/01/2026
1,11303310100000e+24;23537;2025;1;PREFEITURA DO MUNICÍPIO DE SÃO PAULO;Direta;NA;NA;NA;NA;NA;NA;NA;NA;Imposto sobre a Renda - Retido na Fonte - Remessa ao Exterior - PF;Imposto sobre a Renda - Retido na Fonte - Remessa ao Exterior - PF;1;Receita Corrente;1;1;3;3;3;1;1;A;S;P;P;S;00.1.500.9003;Tesouro Municipal;N;160136;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8102,11;881,34;965,27;930,72;10879,44;16/01/2026
1,11303310200000e+24;23542;2025;1;PREFEITURA DO MUNICÍPIO DE SÃO PAULO;Direta;NA;NA;NA;NA;NA;NA;NA;NA;Imposto sobre a Renda - Retido na Fonte - Remessa ao Exterior - PJ;Imposto sobre a Renda - Retido na Fonte - Remessa ao Exterior - PJ;1;Receita Corrente;1;1;3;3;3;1;2;A;S;P;P;S;00.1.500.9003;Tesouro Municipal;N;27638451;0,00;0,00;3377,13;36548,74;8091,97;29625824,52;8974,80;18142,67;0,00;0,00;0,00;44098,33;29745058,16;16/01/2026
1,11303320200000e+24;23553;2025;1;PREFEITURA DO MUNICÍPIO DE SÃO PAULO;Direta;NA;NA;NA;NA;NA;NA;NA;NA;Imposto sobre a Renda - Retido na Fonte - Remessa ao Exterior - PJ - Multas e Juros;IRRF - Remessa ao Exterior - PJ - Multas e Juros;1;Receita Corrente;1;1;3;3;3;2;2;A;S;P;P;S;00.1.500.9003;Tesouro Municipal;N;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16/01/2026
1,11303410100000e+24;23560;2025;1;PREFEITURA DO MUNICÍPIO DE SÃO PAULO;Direta;NA;NA;NA;NA;NA;NA;NA;NA;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - PF;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - PF;1;Receita Corrente;1;1;3;3;4;1;1;A;S;P;P;S;00.1.500.9003;Tesouro Municipal;N;7409553;5399,03;5399,03;862561,73;862541,87;440940,05;547394,55;857142,84;428571,42;428571,42;428571,42;0,00;428571,42;5295664,78;16/01/2026
1,11303410100000e+24;23562;2025;1;PREFEITURA DO MUNICÍPIO DE SÃO PAULO;Direta;NA;NA;NA;NA;NA;NA;NA;NA;Deduções do Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - PF;Deduções do IRRF - Outros Rendimentos - PF;1;Receita Corrente;1;1;3;3;4;1;1;A;S;P;P;S;00.1.500.9003;Tesouro Municipal;S;0;0,00;0,00;-1376,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-1376,47;16/01/2026
1,11303410200000e+24;23565;2025;1;PREFEITURA DO MUNICÍPIO DE SÃO PAULO;Direta;NA;NA;NA;NA;NA;NA;NA;NA;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - PJ;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - PJ;1;Receita Corrente;1;1;3;3;4;1;2;A;S;P;P;S;00.1.500.9003;Tesouro Municipal;N;788111976;42296888,27;57541666,62;42570880,05;62509532,02;63098937,65;55910291,62;50462590,43;44186762,71;53316754,13;44008553,50;45972835,60;84544900,70;646420593,30;16/01/2026
1,11303410200000e+24;23567;2025;1;PREFEITURA DO MUNICÍPIO DE SÃO PAULO;Direta;NA;NA;NA;NA;NA;NA;NA;NA;Deduções do Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - PJ;Deduções do IRRF - Outros Rendimentos - PJ;1;Receita Corrente;1;1;3;3;4;1;2;A;S;P;P;S;00.1.500.9003;Tesouro Municipal;S;0;-264,00;-63942,57;-506,08;0,00;-87,19;-97675,66;-2980,61;0,00;-14695,45;-1872231,90;-5188,14;-27815,40;-2085387,00;16/01/2026
1,11303420200000e+24;23576;2025;1;PREFEITURA DO MUNICÍPIO DE SÃO PAULO;Direta;NA;NA;NA;NA;NA;NA;NA;NA;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - PJ - Multas e Juros;IRRF - Outros Rendimentos - PJ - Multas e Juros;1;Receita Corrente;1;1;3;3;4;2;2;A;S;P;P;S;00.1.500.9003;Tesouro Municipal;N;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16/01/2026
