variavel;n_na
regiao;33369
subprefeitura;33369
distrito;33369
tipo_regionalizacao;33369
valor_detalhamento_acao;33369
cod_empresa_pmsp;0
cod_empenho;0
ano_empenho;0
codigo_nlp;0
ano_liquidacao;0
data_liquidacao;0
codigo_orgao;0
sigla_orgao;0
descricao_orgao;0
codigo_unidade;0
descricao_unidade;0
codigo_funcao;0
descricao_funcao;0
codigo_subfuncao;0
descricao_subfuncao;0
codigo_programa;0
descricao_programa;0
codigo_proj_ativ;0
descricao_proj_ativ;0
codigo_conta_despesa;0
descricao_conta_despesa;0
codigo_fonte;0
descricao_fonte;0
codigo_exercicio_fonte;0
codigo_destinacao_recurso;0
codigo_vinculo_pmsp;0
codigo_tipo_credito_orcamentario;0
ano_referencia;0
